M15+,40.780137,-73.9501,2015-12-30T18:59:40.689,1273,OF_W5-Weekday-106100_SBS15_457,2015-12-30,SBS150091,405307,112.93,3129.23,approaching
BX9,40.909521,-73.896593,2015-12-30T18:59:49.848,5815,KB_W5-Weekday-113500_BX9_42,2015-12-30,BX090093,100609,260.22,325.27,< 1 stop away
X9,40.761848,-73.982712,2015-12-30T18:59:57.000,2554,YU_E5-Weekday-112500_X109_114,2015-12-30,X90107,402169,396.69,1181.0,< 1 stop away
B15,40.656569,-73.90529,2015-12-30T19:00:05.000,7127,EN_W5-Weekday-108700_B15_145,2015-12-30,B150236,301133,19.85,7307.79,at stop
Q24,40.691698,-73.925921,2015-12-30T18:59:48.000,4837,EN_W5-Weekday-113200_B83_309,2015-12-30,Q240082,302059,90.13,307.95,approaching
X17J,40.589365,-74.167189,2015-12-30T19:00:01.920,2921,CH_E5-Weekday-104700_X1719_747,2015-12-30,X17J0047,203817,83.48,41197.75,approaching
Q1,40.707937,-73.795729,2015-12-30T18:59:57.000,4193,QV_W5-Weekday-114000_MISC_211,2015-12-30,Q010125,500002,228.01,285.31,< 1 stop away
M60+,40.766738,-73.892594,2015-12-30T18:59:47.000,5980,MQ_W5-Weekday-112900_SBS60_23,2015-12-30,SBS600016,503870,1487.57,6068.24,0.9 miles away
BX32,40.867319,-73.905543,2015-12-30T18:59:57.170,7766,WF_W5-Weekday-114300_BX32_19,2015-12-30,BX320028,100629,436.97,565.66,< 1 stop away
B45,40.683403,-73.975438,2015-12-30T18:59:39.000,6795,EN_W5-Weekday-111000_B45_8,2015-12-30,B450028,303254,270.77,5485.95,< 1 stop away
M60+,40.813139,-73.956442,2015-12-30T19:00:02.562,5966,MQ_W5-Weekday-112800_SBS60_24,2015-12-30,SBS600019,402656,509.9,2343.92,< 1 stop away
S48,40.626239,-74.15799,2015-12-30T18:59:46.407,7036,CA_E5-Weekday-112500_MISC_533,2015-12-30,S480057,203537,103.85,2870.98,approaching
X37,40.752045,-73.981935,2015-12-30T18:59:41.000,2454,UP_W5-Weekday-112000_B6_252,2015-12-30,X370076,405049,400.06,1895.39,< 1 stop away
Q5,40.702058,-73.801495,2015-12-30T18:59:38.000,8408,JA_W5-Weekday-113300_MISC_515,2015-12-30,Q050140,504467,119.66,208.6,approaching
X4,40.571141,-74.089936,2015-12-30T18:59:49.078,2810,YU_E5-Weekday-108000_X109_106,2015-12-30,X40135,203426,119.17,23238.49,approaching
S78,40.562293,-74.118104,2015-12-30T18:59:38.353,4052,CH_E5-Weekday-109500_MISC_842,2015-12-30,S780568,201127,52.87,12692.46,approaching
B38,40.696125,-73.989375,2015-12-30T18:59:47.000,7279,FP_W5-Weekday-113600_B38_130,2015-12-30,B380103,307460,429.21,512.63,< 1 stop away
Q58,40.712108,-73.900291,2015-12-30T18:59:45.000,6553,FP_W5-Weekday-107000_Q58_242,2015-12-30,Q58C0061,504107,722.48,11229.17,< 1 stop away
B6,40.645279,-73.902473,2015-12-30T18:59:54.261,4879,UP_W5-Weekday-113900_B6_264,2015-12-30,B6C0151,308044,50.8,78.3,approaching
BX41,40.823721,-73.914089,2015-12-30T18:59:41.239,5570,KB_W5-Weekday-109700_BX41_19,2015-12-30,BX410196,104293,6.94,7679.76,at stop
